,Block_G50-G59,Block_E00-E07,Block_M91-M94,Block_M80-M85,Block_C43-C44,Block_M15-M19,Block_N30-N39,Block_M65-M68,Block_D70-D77,Block_B95-B98,Block_K00-K14,Block_K80-K87,Block_C64-C68,Block_K90-K93,Block_J80-J84,Block_F20-F29,Block_F30-F39,Block_J90-J94,Block_F40-F48,Block_E65-E68,Block_G35-G37,Block_J95-J99,Block_E10-E14,Block_B35-B49,Block_C81-C96,Block_M60-M63,Block_K70-K77,Block_M95-M99,Block_D60-D64,Block_L60-L75,Block_C15-C26,Block_D65-D69,Block_I70-I79,Block_L20-L30,Block_L50-L54,Block_D37-D48,Block_M40-M43,Block_L55-L59,Block_A30-A49,Block_K20-K31,Block_E20-E35,Block_D50-D53,Block_M20-M25,Block_H65-H75,Block_M50-M54,Block_F10-F19,Block_K55-K64,Block_N00-N08,Block_F00-F09,Block_M45-M49,Block_G90-G99,Block_I80-I89,Block_J20-J22,Block_J40-J47,Block_K35-K38,Block_K50-K52,Block_K40-K46,Block_L40-L45,Block_I60-I69,Block_A00-A09,Block_I30-I52,Block_I10-I15,Block_H53-H54,Block_J30-J39,Block_G80-G83,Block_N10-N16,Block_I26-I28,Block_E50-E64,Block_I95-I99,Block_H80-H83,Block_C30-C39,Block_M86-M90,Block_H60-H62,Block_H10-H13,Block_H15-H22,Block_I05-I09,Block_H43-H45,Block_H90-H95,Block_H00-H06,Block_B25-B34,Block_G60-G64,Block_I20-I25,Block_L00-L08,Block_H40-H42,Block_G40-G47,Block_L80-L99,Block_H25-H28,Block_H55-H59,Block_N25-N29,Block_M70-M79,Block_D80-D89,Block_H49-H52,Block_J09-J18,Block_G20-G26,Block_G30-G32,Block_M05-M14,Block_N17-N19,Block_E70-E90,Block_D00-D09,Block_B00-B09,Block_H30-H36,Block_K65-K67,Block_N20-N23
Block_G50-G59,2.4424906541753444e-15,0.9096067086653243,1.0,0.907681020511587,1.0,0.8392600840669541,1.0,0.9877372132103007,1.0,1.0,1.0,0.997874504269944,1.0,0.8345287755888003,1.0,1.0,1.0,1.0,1.0,0.9983464861665937,0.990481321361481,1.0,0.8631415966809405,0.9482465092171395,0.864981841532337,1.0,1.0,1.0,0.8305715382362762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9829266882032658,0.8946677138245405,0.9958544214279428,1.0,1.0,1.0,0.9916576096774341,0.8740976839416585,1.0,1.0,1.0,0.9923051623593614,1.0,0.9480270651725615,1.0,1.0,0.9913164864119383,0.8681956551265512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932348990850827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991169784286233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840103898709726,0.9884385337396784,1.0,0.9625365675367322,1.0,0.981169953873686,1.0,1.0
Block_E00-E07,0.9096067086653243,4.884981308350689e-15,1.0,0.8817023041248755,0.8798502085732246,0.9415179222312219,0.9972403999871763,0.9973407828891073,1.0,1.0,0.984957196385924,0.9944689688781913,1.0,0.3151760477593596,1.0,1.0,1.0,1.0,0.9829430639782735,0.974900186654068,0.5932248117696263,1.0,0.674564287004232,0.791753251434328,0.8104306369709757,0.9845857131984566,0.9851507501704557,1.0,0.5488205048247567,0.9854471644717737,0.9906085097987546,0.9602004826159716,0.9950250603269964,0.9957812595947654,0.9900501206539929,1.0,1.0,0.9495075425060933,1.0,0.9927603993813402,0.9432299903816745,0.8521308283032442,0.9973030616133787,1.0,1.0,1.0,0.9615572843449725,0.9948808293094633,1.0,1.0,0.935373637913258,0.974414102426568,0.9834168677566548,0.6647890284765074,1.0,0.9932726537093494,0.8693168548996164,0.5997023110626414,1.0,1.0,1.0,0.8987846652466077,1.0,0.9219654562519812,1.0,1.0,1.0,0.9339836646573776,1.0,1.0,0.9875518404293724,1.0,0.9677587059890419,1.0,0.9874142875291003,1.0,0.9959379787666709,1.0,0.9942554344811785,1.0,0.9974309521997428,0.9879438447486151,0.9958506134764574,0.9991929582162056,0.9980851448270595,1.0,0.9938438262371441,1.0,1.0,0.9973920250156317,0.8993483716563383,1.0,0.984957196385924,1.0,1.0,0.733227803812193,0.9686608258040086,0.9994366990062004,0.8682744542906132,1.0,0.9897916391851375,1.0,1.0
Block_M91-M94,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9459437522382664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9037749551350623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_M80-M85,0.907681020511587,0.8817023041248755,1.0,-4.440892098500626e-16,1.0,0.997626704082173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8953527737254061,1.0,0.9685146716963425,1.0,1.0,1.0,1.0,0.9983135010846729,1.0,0.8264994030027546,0.8191556696550091,0.6016341245412791,1.0,1.0,1.0,0.8134535510787541,1.0,1.0,1.0,1.0,0.7608719178504368,1.0,1.0,1.0,1.0,1.0,1.0,0.9924374687601824,0.8231969242381836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9236117025017682,1.0,1.0,0.9976922107358108,0.9990925074202927,1.0,1.0,1.0,0.9616846691566218,1.0,1.0,1.0,1.0,1.0,0.991010305273163,1.0,1.0,1.0,1.0,0.9905919587092956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842573358481712,1.0,0.7078433612494461,1.0,1.0,1.0,1.0,0.9747685529962066,1.0,1.0,1.0,1.0,0.9937444995833484,1.0,1.0
Block_C43-C44,1.0,0.8798502085732246,1.0,1.0,-1.5543122344752192e-15,1.0,1.0,1.0,1.0,1.0,1.0,0.9985838307737542,0.987519485592517,0.8916242375494031,0.9646997745190896,1.0,1.0,1.0,1.0,1.0,0.8372199973514077,1.0,0.7992868112923008,1.0,0.9786536748537973,1.0,1.0,1.0,0.929042889759053,0.8039488377892449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8836468705435371,1.0,1.0,0.9962081475214262,0.998153144871441,1.0,1.0,1.0,1.0,0.8624309858839578,1.0,1.0,1.0,1.0,0.9606938091960818,1.0,0.6867705751899115,1.0,0.9948325761067119,1.0,0.9881695658712967,1.0,1.0,0.9933288844395004,0.9975985870732524,1.0,0.9595585111711799,0.9726565629190135,1.0,1.0,1.0,1.0,1.0,0.9936255283620409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753050660134138,1.0,0.8908964219075176,1.0,0.8007213867947256,0.9837873362062332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461899236361446,1.0,0.9982692640522943,0.978604832444315,1.0,0.8118095594656585,1.0,0.9837873362062332
Block_M15-M19,0.8392600840669541,0.9415179222312219,1.0,0.997626704082173,1.0,-1.7763568394002505e-15,1.0,0.968790610803382,1.0,1.0,1.0,0.9945905099213834,1.0,0.9864792267603308,1.0,1.0,0.9946020810364059,1.0,1.0,0.9242510827458822,0.9994616555466882,1.0,0.980649372377755,1.0,1.0,1.0,1.0,1.0,0.9778238106866818,1.0,1.0,1.0,1.0,1.0,1.0,0.9925088904170751,1.0,1.0,1.0,1.0,1.0,0.9506176167607698,0.7063388715207345,1.0,0.85361498905772,1.0,1.0,1.0,1.0,0.9932240364318188,1.0,0.9978240293005538,0.9740500351946159,0.9772863431691008,1.0,1.0,0.7524803953709993,0.9994206416710179,1.0,1.0,1.0,0.9671303386670688,1.0,1.0,1.0,1.0,1.0,0.9885216592808304,1.0,0.910106685004901,0.9675343497628217,1.0,1.0,1.0,1.0,1.0,1.0,0.9825922344044302,1.0,1.0,1.0,0.9952835085695703,1.0,1.0,1.0,1.0,0.9655948823398013,1.0,1.0,0.9863964462875948,1.0,0.941974114681434,1.0,1.0,1.0,0.9898264160060627,0.9068224346633875,1.0,0.9954597019559733,1.0,1.0,1.0,1.0
Block_N30-N39,1.0,0.9972403999871763,1.0,1.0,1.0,1.0,-4.440892098500626e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9603785574124837,1.0,0.9923283191036201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8613249509436927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9749411994483705,1.0,1.0,1.0,0.9873931773585175,1.0,1.0,1.0,1.0,0.984495658176349,1.0,0.9952399837587969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836601404136198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.913370383635158,0.9879184399669098,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_M65-M68,0.9877372132103007,0.9973407828891073,1.0,1.0,1.0,0.968790610803382,1.0,0.0,1.0,1.0,1.0,0.9752387240879109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948565550012636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9724788014685171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947515057738116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892054201090483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_D70-D77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5571925572299525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6535898384862247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9674699975683823,1.0,0.9849415349515791,1.0,1.0,1.0,1.0
Block_B95-B98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1102230246251565e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990616634629587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.867053753770002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9799114149077423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9248353971997171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753966084347439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
