,Block_G50-G59,Block_E00-E07,Block_M91-M94,Block_M80-M85,Block_C43-C44,Block_M15-M19,Block_N30-N39,Block_M65-M68,Block_D70-D77,Block_B95-B98,Block_K00-K14,Block_K80-K87,Block_C64-C68,Block_K90-K93,Block_J80-J84,Block_F20-F29,Block_F30-F39,Block_J90-J94,Block_F40-F48,Block_E65-E68,Block_G35-G37,Block_J95-J99,Block_E10-E14,Block_J00-J06,Block_B35-B49,Block_C81-C96,Block_M60-M63,Block_K70-K77,Block_M95-M99,Block_D60-D64,Block_L60-L75,Block_C15-C26,Block_D65-D69,Block_I70-I79,Block_L20-L30,Block_L50-L54,Block_D37-D48,Block_M40-M43,Block_L55-L59,Block_A30-A49,Block_K20-K31,Block_E20-E35,Block_D50-D53,Block_M20-M25,Block_H65-H75,Block_M50-M54,Block_F10-F19,Block_K55-K64,Block_N00-N08,Block_F00-F09,Block_M45-M49,Block_G90-G99,Block_I80-I89,Block_J20-J22,Block_J40-J47,Block_K35-K38,Block_K50-K52,Block_K40-K46,Block_L40-L45,Block_I60-I69,Block_A00-A09,Block_I30-I52,Block_I10-I15,Block_H53-H54,Block_J30-J39,Block_G80-G83,Block_N10-N16,Block_I26-I28,Block_E50-E64,Block_I95-I99,Block_H80-H83,Block_C30-C39,Block_M86-M90,Block_H60-H62,Block_H10-H13,Block_H15-H22,Block_I05-I09,Block_H43-H45,Block_H00-H06,Block_B25-B34,Block_G60-G64,Block_I20-I25,Block_L00-L08,Block_H40-H42,Block_G40-G47,Block_L80-L99,Block_H25-H28,Block_H55-H59,Block_N25-N29,Block_M70-M79,Block_D80-D89,Block_H49-H52,Block_J09-J18,Block_G20-G26,Block_G30-G32,Block_M05-M14,Block_N17-N19,Block_E70-E90,Block_D00-D09,Block_B00-B09,Block_H30-H36,Block_K65-K67,Block_N20-N23
Block_G50-G59,-4.440892098500626e-16,0.9346995388278713,1.0,1.0,1.0,0.958384907392791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9307473835673891,1.0,1.0,1.0,1.0,1.0,0.9651315978122796,1.0,1.0,0.9427104836399247,1.0,1.0,1.0,1.0,1.0,1.0,0.8410386862278841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9394328589359783,1.0,0.6499240204050531,1.0,1.0,0.9484289376870604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9538542614837774,1.0,1.0,1.0,0.9976100548575737,1.0,1.0,0.9878340187065505,1.0,1.0,0.9946086747798574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9448682153580029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845165801555047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8319581523692612,1.0,1.0
Block_E00-E07,0.9346995388278713,3.3306690738754696e-16,1.0,1.0,0.8605697816233444,1.0,0.7817513739051318,1.0,1.0,1.0,1.0,0.9904078914428756,1.0,0.5698799437674081,1.0,1.0,0.9970895656514751,1.0,1.0,1.0,0.7354771668049254,1.0,0.6156569405262721,1.0,0.9900589741743693,0.9509573536492524,1.0,1.0,1.0,0.6583335013739231,0.907766400172498,1.0,1.0,0.8579240306769611,1.0,1.0,1.0,1.0,0.9632697116570945,1.0,1.0,1.0,0.8570875969824224,0.9293837217013874,1.0,1.0,1.0,1.0,1.0,1.0,0.9468473556020542,0.9963290329277772,0.9724490946968165,0.9930972988587048,0.6909437582509221,0.996932132826091,0.9950804680544724,0.7998635647019761,0.8191632387179708,0.9985289360734847,1.0,0.9985638893505205,0.9039393578527145,1.0,0.9198124704070961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964853166133729,1.0,1.0,1.0,0.9822169523902471,0.9468774575430863,1.0,1.0,1.0,1.0,0.9753258945167304,1.0,1.0,1.0,0.8170223415726268,1.0,1.0,1.0,1.0,0.8992269827178572,1.0,0.999599139148961,1.0,1.0,0.8189947884006986,1.0,1.0
Block_M91-M94,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9802164352937768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_M80-M85,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5080479629855275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9820439743283554,1.0,0.9792787831481088,1.0,1.0,0.9952017807685294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_C43-C44,1.0,0.8605697816233444,1.0,1.0,3.1086244689504383e-15,1.0,0.9362755263969541,1.0,1.0,0.9972192166653581,1.0,1.0,1.0,0.9430704730911934,1.0,1.0,1.0,1.0,1.0,1.0,0.7033629980448128,1.0,0.7843254410476762,1.0,1.0,1.0,0.8967733672693039,1.0,1.0,0.9301369068606454,0.9777032625571419,0.9904566944281022,1.0,0.9788013762039034,1.0,1.0,0.97412725551659,1.0,0.6621936999780786,1.0,0.9966375868043046,0.9766237708893908,0.9898777958727636,0.9923653555424817,0.9797555917455271,0.9910531510263458,1.0,0.9985427756073844,1.0,1.0,0.9965281126273106,1.0,1.0,1.0,0.5523587593759751,1.0,0.9855397083896622,1.0,0.8301709777501866,1.0,1.0,0.9898689977797273,0.9807756850892049,1.0,0.85857983146383,1.0,0.9392667752365813,1.0,1.0,1.0,0.9848166938091453,0.9961039618148985,1.0,1.0,0.9958676274693294,1.0,1.0,1.0,0.8719384999572845,1.0,1.0,0.9601071002017402,1.0,0.8729123658020936,1.0,0.8751075775366333,0.9677661511557527,1.0,1.0,1.0,0.9967890279863729,1.0,1.0,1.0,1.0,0.9430194320992848,1.0,0.9359018035300062,0.937274995181282,1.0,0.9144848830055775,1.0,1.0
Block_M15-M19,0.958384907392791,1.0,1.0,1.0,1.0,-3.552713678800501e-15,0.9839633763508695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9764689597332494,1.0,1.0,1.0,0.9488504245397145,1.0,1.0,0.9919962070820645,1.0,1.0,1.0,1.0,1.0,0.9567707186721823,0.975941184738788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9898459567716864,1.0,1.0,0.7041195855784931,1.0,0.7874560334715632,0.9942360958229577,0.9970662500185056,1.0,1.0,0.9883503991480959,0.9652423500312515,1.0,1.0,0.900242394083289,1.0,1.0,0.9909477260743111,1.0,1.0,1.0,1.0,0.9024355338685016,1.0,0.9939743180453399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983774911484904,1.0,1.0,0.9776064054434271,1.0,0.978368453083476,1.0,1.0,0.759573850059066,1.0,1.0,1.0,1.0,1.0,0.9544778358897303,1.0,0.9990511368753472,1.0,1.0,1.0,0.9694127686400554,1.0
Block_N30-N39,1.0,0.7817513739051318,1.0,1.0,0.9362755263969541,0.9839633763508695,1.1102230246251565e-15,1.0,1.0,0.996139485283409,1.0,1.0,1.0,0.8891466899831703,1.0,1.0,0.9619951421936476,1.0,1.0,1.0,0.9981858318992329,1.0,0.965504912275051,0.9874310747040025,1.0,0.9366265174097328,1.0,1.0,1.0,0.8940769761771212,0.6538759263585794,1.0,0.9750146554702982,1.0,1.0,1.0,0.994868757734941,1.0,1.0,1.0,1.0,1.0,0.9887580114536132,0.9708526167710373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9424407419130222,1.0,1.0,0.36051922617514653,0.9875667755791321,1.0,1.0,1.0,0.996663900882489,1.0,1.0,1.0,0.9156850859020986,1.0,1.0,1.0,1.0,1.0,0.9893773193087229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988811587557811,1.0,1.0,1.0,1.0,0.9179588649752576,1.0,1.0,1.0,0.7470233445703041,1.0,1.0,1.0,1.0,0.963586511941106,1.0,0.9986913757690848,1.0,1.0,1.0,1.0,0.9976819410308989
Block_M65-M68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3306690738754696e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8908910548820038,1.0,1.0,1.0,0.9665923447609469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9775675461747051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4654775161751513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9824012107550515,1.0,1.0,1.0,1.0,1.0
Block_D70-D77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.220446049250313e-16,1.0,1.0,1.0,0.5635642195280153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9175213901157677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Block_B95-B98,1.0,1.0,1.0,1.0,0.9972192166653581,1.0,0.996139485283409,1.0,1.0,1.1102230246251565e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974099043670473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4590253677019184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9480825868348834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.862639436051311,1.0,1.0,1.0,1.0,1.0,1.0,0.9637182300933934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977614751495323,1.0,1.0,1.0,1.0,1.0
