Source	Target	Weight	listOfSharedSNPs
Block_N00-N08	Block_K80-K87	3	['rs6711375', 'rs1457231', 'rs10803762']
Block_N00-N08	Block_D70-D77	10	['rs12605080', 'rs11151764', 'rs57276642', 'rs4892005', 'rs72965413', 'rs12604815', 'rs7505661', 'rs4131187', 'rs9636074', 'rs72965438']
Block_N00-N08	Block_E00-E07	3	['rs9266718', 'rs9266716', 'rs1521']
Block_N00-N08	Block_G50-G59	16	['rs1387246', 'rs1601981', 'rs1586565', 'rs1586564', 'rs752378', 'rs1489081', 'rs1383385', 'rs10843271', 'rs1383386', 'rs4931117', 'rs11502759', 'rs753013', 'rs1383384', 'rs4931120', 'rs1601980', 'rs1304265']
Block_N00-N08	Block_M95-M99	1	['rs196631']
Block_N00-N08	Block_G35-G37	3	['rs9266718', 'rs9266716', 'rs1521']
Block_N00-N08	Block_E65-E68	3	['rs6711375', 'rs1457231', 'rs10803762']
Block_N00-N08	Block_L80-L99	1	['rs4407994']
Block_N00-N08	Block_E70-E90	1	['rs9266718']
Block_K55-K64	Block_M20-M25	4	['rs10906622', 'rs11258920', 'rs2182592', 'rs10796168']
Block_K55-K64	Block_D50-D53	3	['rs6927022', 'rs9273354', 'rs7745002']
